T_07,T_32,T_39,T_43,T_46,T_47,T_50,T_56,T_79,T_80,T_81,T_82,T_83,T_101,T_111,T_115,T_SC
1.0 ,4,23,3,2,1,2,929,8,1,1,5,873.00 ,28.50 ,0,1,63.66
0.4 ,2,1,0,1,0,0,1718,3,0,0,0,2098.50 ,0.00 ,0,0,51.95
1.0 ,8,25,3,2,0,0,4598,6,0,0,0,4333.50 ,0.00 ,0,0,62.04
1.4 ,10,16,4,2,1,0,2159,7,1,1,6,2255.00 ,35.00 ,1,1,54.66
1.2 ,22,32,2,4,3,4,9117,6,0,1,4,9708.00 ,136.50 ,1,1,78.05
1.2 ,8,11,2,2,1,0,1092,6,1,1,0,1252.00 ,35.50 ,1,1,62.76
0.4 ,3,10,0,1,0,1,17,8,0,0,1,42.50 ,0.00 ,0,0,52.67
0.6 ,6,8,0,3,0,0,3399,6,0,0,0,2802.00 ,0.00 ,0,0,55.02
1.4 ,24,23,4,2,2,1,16501,7,1,1,6,14273.00 ,0.00 ,1,0,60.39
1.8 ,13,22,4,2,1,3,839,9,1,1,3,731.00 ,96.50 ,1,1,68.21
0.4 ,11,30,0,1,0,3,4689,4,0,0,3,3748.50 ,0.00 ,0,0,60.38
0.6 ,6,14,0,2,0,1,1809,7,0,0,1,1819.00 ,0.00 ,0,0,59.12
0.4 ,26,11,0,1,0,0,3831,8,0,0,0,2926.50 ,0.00 ,0,0,57.22
0.4 ,5,9,0,2,0,0,840,9,0,0,0,876.50 ,0.00 ,0,0,58.22
1.2 ,28,34,2,5,0,0,9927,6,0,1,0,8242.00 ,0.00 ,1,0,68.89
1.0 ,10,10,0,2,1,2,1254,5,1,1,6,776.50 ,0.00 ,0,0,58.35
0.4 ,9,6,0,1,1,0,5231,7,0,1,0,3666.00 ,1.50 ,0,1,52.13
0.4 ,7,29,0,1,0,0,1132,7,0,0,0,1283.00 ,0.00 ,0,0,56.68
1.0 ,101,9,1,6,0,0,56345,7,0,0,0,38914.00 ,0.00 ,0,1,61.86
0.6 ,10,19,0,5,0,4,4292,7,0,0,5,3800.00 ,0.00 ,0,0,72.69
1.0 ,12,10,3,3,3,2,2852,7,0,1,5,2449.00 ,28.00 ,0,1,62.99
1.0 ,27,20,4,4,0,3,1513,8,0,1,3,1406.50 ,2.50 ,0,1,65.01
0.4 ,19,21,0,2,0,0,2593,6,0,0,0,2674.50 ,0.00 ,0,0,62.08
0.4 ,5,22,0,1,0,0,5837,6,0,0,0,4159.00 ,0.00 ,0,0,57.18
0.6 ,13,26,0,2,0,1,1324,7,0,0,1,1230.50 ,0.00 ,0,0,63.75
0.6 ,9,7,0,2,4,0,5217,9,0,0,0,6229.00 ,15.50 ,0,1,62.95
1.2 ,142,30,2,7,4,2,108692,8,0,1,2,96900.50 ,218.00 ,1,1,75.86
0.6 ,7,32,0,5,0,0,3649,9,0,0,0,3121.50 ,0.00 ,0,0,68.14
0.6 ,4,20,0,1,0,0,1237,5,0,0,0,1046.00 ,0.00 ,0,0,64.49
1.2 ,15,39,6,3,2,1,3357,9,1,1,2,3461.50 ,46.50 ,0,1,68.99
0.8 ,6,32,0,2,0,0,1282,7,0,0,0,1841.50 ,0.00 ,0,0,58.91
0.4 ,5,12,0,1,3,1,1553,9,0,0,1,2542.00 ,0.00 ,0,0,52.6
0.4 ,12,12,0,1,1,0,8192,8,0,0,0,8740.00 ,0.00 ,0,0,60.45
0.6 ,8,16,0,3,0,0,8257,8,0,0,0,7230.50 ,0.00 ,0,0,61.57
0.4 ,8,40,0,2,0,0,2276,7,0,0,0,2304.50 ,0.00 ,0,0,61.72
0.4 ,32,31,0,2,0,0,66599,5,0,0,1,33299.50 ,0.00 ,0,0,72.09
1.0 ,14,29,2,1,0,1,6190,8,0,1,1,5262.00 ,46.50 ,0,1,58.73
1.0 ,3,17,2,2,0,2,349,7,0,0,2,337.00 ,0.00 ,0,0,70.43
0.4 ,6,26,0,1,0,0,1841,8,0,0,0,1277.50 ,0.00 ,0,0,58.53
0.8 ,11,28,0,4,0,0,1490,6,0,0,0,1487.50 ,0.00 ,0,0,62.47
0.4 ,17,26,0,1,0,0,1977,8,0,0,0,1989.50 ,0.00 ,0,0,57.96
0.4 ,9,29,0,1,1,0,3589,5,0,0,0,3077.00 ,0.00 ,0,0,67.09
1.0 ,6,23,0,1,2,1,821,8,1,1,1,986.50 ,49.50 ,0,1,61.35
0.6 ,10,23,0,2,0,0,3879,6,0,0,0,3353.00 ,0.00 ,0,0,60.77
0.4 ,6,32,0,1,0,0,1942,5,0,0,0,1924.00 ,0.00 ,0,0,58.17
0.4 ,11,9,0,4,1,0,8184,5,0,0,0,6971.50 ,0.00 ,0,0,53.03
1.2 ,12,15,0,4,0,0,2367,6,0,1,0,2066.50 ,0.00 ,1,0,66.98
0.6 ,13,29,0,1,0,0,1573,5,0,0,0,1348.00 ,0.00 ,0,0,63.43
1.4 ,4,3,3,3,2,5,663,6,1,1,9,621.50 ,53.50 ,1,1,59.61
0.6 ,16,44,0,2,0,1,1544,7,0,0,1,1538.00 ,0.00 ,0,0,67.78
0.4 ,7,24,0,1,0,0,1763,7,0,0,0,1728.00 ,0.00 ,0,0,58.05
1.2 ,21,41,2,4,2,2,5265,5,1,1,2,4240.50 ,19.50 ,1,1,67.98
1.4 ,17,33,4,6,3,1,7707,7,0,1,1,6536.00 ,0.00 ,1,0,72.62
1.0 ,16,17,4,1,2,6,7085,8,1,1,9,6502.50 ,3.00 ,0,1,58.96
0.8 ,32,20,0,4,4,2,7017,5,1,1,2,5153.00 ,35.50 ,0,1,70.82
0.4 ,5,34,0,1,0,0,779,8,0,0,0,776.50 ,0.00 ,0,0,65.48
0.8 ,9,19,0,4,1,5,5631,8,1,1,9,4884.00 ,11.00 ,0,1,65.45
0.4 ,5,36,0,1,0,0,734,7,0,1,0,683.50 ,0.50 ,0,1,67.48
0.4 ,22,37,0,1,1,,3360,8,0,0,0,3539.50 ,0.00 ,0,0,66.21
0.6 ,5,27,0,2,0,0,520,6,0,1,0,260.00 ,22.00 ,0,1,66.09
1.0 ,8,34,0,4,1,2,1913,9,1,1,2,2061.50 ,7.00 ,0,1,72.89
0.6 ,6,28,0,2,0,1,944,6,0,0,1,845.50 ,0.00 ,0,0,65.89
0.8 ,29,19,0,4,4,2,4148,6,1,1,2,4855.50 ,32.00 ,0,1,63.18
0.4 ,8,22,0,2,0,0,1271,6,0,0,0,1172.50 ,0.00 ,0,0,63.41
1.0 ,16,16,1,5,0,0,5102,8,0,1,0,5897.50 ,113.50 ,0,1,70.06
0.4 ,11,29,0,1,0,0,1683,8,0,0,0,1549.50 ,0.00 ,0,0,68.22
1.0 ,30,30,1,3,1,1,10770,7,1,1,1,7759.00 ,0.00 ,0,0,64.1
0.8 ,15,26,0,3,3,9,3712,8,1,1,11,3416.00 ,0.00 ,0,0,73.09
0.4 ,8,26,0,2,0,0,1257,7,0,0,0,1258.00 ,0.00 ,0,0,67.01
1.0 ,28,11,0,5,4,2,5842,5,1,1,2,5258.00 ,0.00 ,0,0,66.7
1.2 ,99,27,7,6,4,1,61729,6,1,1,1,73568.50 ,14.00 ,0,1,75.38
1.0 ,6,18,1,2,0,1,2079,6,0,1,1,1695.50 ,2.50 ,0,1,65.55
1.2 ,34,24,1,4,0,1,4354,7,0,1,1,4030.50 ,0.00 ,1,0,73.02
1.0 ,11,16,3,4,1,7,3305,8,1,1,7,2924.50 ,92.50 ,0,1,76.52
0.8 ,9,18,0,7,0,0,563,8,0,0,0,661.50 ,0.00 ,0,0,63.05
1.0 ,16,26,1,1,0,0,2399,8,0,1,0,2159.50 ,45.50 ,0,1,59.96
1.2 ,17,18,2,5,4,7,5193,7,1,1,9,4157.50 ,68.50 ,1,1,70.33
0.4 ,10,10,0,1,4,3,57394,6,1,1,6,44348.50 ,193.00 ,0,1,65.81
0.4 ,9,17,0,1,0,0,6284,7,0,0,0,5086.50 ,0.00 ,0,0,65.25
1.0 ,6,13,2,1,1,1,1038,5,1,1,1,591.50 ,0.00 ,0,0,57.55
1.4 ,9,26,3,3,3,2,2503,7,1,1,2,2124.00 ,161.50 ,1,1,69.99
1.4 ,6,23,4,3,1,2,1579,8,1,1,2,1512.50 ,0.00 ,1,0,64.74
0.8 ,5,20,0,2,0,2,3644,7,0,0,2,3923.00 ,0.00 ,0,0,62.07
0.4 ,24,30,0,2,0,1,7820,8,0,0,1,7884.50 ,0.00 ,0,1,67.29
1.8 ,3,24,5,1,0,1,1417,9,0,1,1,1151.00 ,156.00 ,1,1,60.85
0.6 ,11,22,0,2,0,0,613,7,0,0,0,951.50 ,0.00 ,0,0,62.25
0.4 ,20,27,0,1,0,0,4009,7,0,0,0,3217.50 ,0.00 ,0,0,65.19
1.2 ,9,17,6,2,0,0,1410,8,0,1,0,1438.00 ,122.00 ,0,1,64.58
1.8 ,10,17,6,5,4,0,1580,8,0,1,0,2572.50 ,211.00 ,1,1,67.03
1.2 ,12,21,2,7,1,2,2999,5,1,1,3,1991.50 ,210.00 ,1,1,75.15
1.2 ,6,7,0,1,1,1,5157,5,1,1,2,3094.50 ,0.00 ,1,0,57.86
1.4 ,20,25,3,6,1,2,5375,6,1,1,2,5687.50 ,291.00 ,1,1,63.73
0.6 ,45,36,0,2,0,0,5308,6,0,0,0,5457.50 ,0.00 ,0,0,62.37
1.0 ,7,21,3,4,0,4,726,9,0,0,5,680.50 ,0.00 ,0,0,63.44
0.6 ,10,21,0,3,0,0,2223,8,0,0,0,2190.50 ,0.00 ,0,0,64.34
0.6 ,26,16,0,5,0,0,11587,7,0,0,0,10733.00 ,2.50 ,0,1,54.41
1.4 ,30,28,3,4,1,7,3073,8,1,1,8,2418.50 ,0.00 ,1,1,77.16
1.2 ,23,28,2,4,0,1,4190,7,0,1,1,4159.00 ,555.50 ,1,1,79.64
1.2 ,5,7,1,3,6,5,1063,7,1,1,7,737.50 ,93.00 ,1,1,64.49
0.6 ,5,18,0,3,0,0,507,8,0,0,0,665.50 ,0.00 ,0,0,65.44
1.8 ,9,23,5,3,2,1,513,8,1,1,2,486.50 ,218.00 ,1,1,74.62
1.8 ,19,13,4,2,3,1,1347,8,1,1,1,1230.00 ,6.50 ,1,1,63.62
1.2 ,26,27,1,5,2,8,27323,3,1,1,8,13661.50 ,74.50 ,1,1,77.73
1.0 ,7,4,2,3,0,1,6321,8,0,1,1,4910.50 ,56.00 ,0,1,55.43
0.4 ,19,13,0,2,0,0,4669,7,0,0,0,5601.50 ,0.00 ,0,0,64.21
0.6 ,7,8,0,4,0,0,842,8,0,0,0,714.00 ,0.00 ,0,0,57.36
0.4 ,5,26,0,1,0,0,1042,8,0,0,0,1177.00 ,0.00 ,0,0,62.48
1.8 ,14,25,5,3,1,1,3134,8,1,1,1,2469.00 ,143.00 ,1,1,69.36
1.8 ,29,17,4,8,2,15,15903,8,1,1,18,10456.50 ,1137.00 ,1,1,68.99
1.4 ,12,17,3,5,0,2,3124,7,0,1,2,3159.50 ,150.50 ,1,1,64.72
1.2 ,20,33,2,3,0,0,5393,6,0,1,0,4969.00 ,73.00 ,1,1,68.58
1.0 ,60,29,2,4,4,0,18863,8,1,1,0,17366.00 ,110.00 ,0,1,68.67
1.4 ,15,19,3,3,1,1,7509,7,1,1,1,5834.50 ,166.50 ,1,1,72.97
0.8 ,7,9,0,3,1,0,1061,7,1,1,0,868.50 ,35.00 ,0,1,56.19
0.4 ,5,13,0,1,0,3,1480,8,0,0,10,3226.50 ,0.00 ,0,1,54.27
1.2 ,5,21,2,2,1,5,1257,6,1,1,8,1133.50 ,45.00 ,1,1,61.95
0.6 ,5,26,0,2,0,0,1092,4,0,0,0,622.50 ,0.00 ,0,0,61.89
1.4 ,15,12,3,3,4,0,11042,7,1,1,1,10100.50 ,117.50 ,1,1,69.69
1.8 ,17,23,4,7,1,16,105,8,1,1,19,233.00 ,230.00 ,1,1,72.1
0.6 ,2,21,0,1,5,24,676,8,0,0,34,448.00 ,0.00 ,0,0,68.44
0.8 ,13,21,0,2,0,0,3484,8,0,0,0,3218.00 ,0.00 ,0,0,64.46
1.8 ,36,23,5,17,4,7,612,7,1,1,8,397.00 ,383.00 ,1,1,87.56
1.0 ,19,15,2,3,0,2,3959,8,0,1,5,4672.00 ,21.00 ,0,1,63.44
1.0 ,8,15,1,2,0,0,3991,7,0,0,0,3059.50 ,0.00 ,0,0,58.08
0.8 ,7,25,0,3,0,1,2328,6,0,0,1,1815.50 ,0.00 ,0,0,65.03
0.4 ,12,5,0,1,1,0,2096,7,1,1,0,1557.50 ,0.00 ,0,0,51.83
1.0 ,16,11,2,3,3,4,4947,7,1,1,9,4682.50 ,0.00 ,0,0,63.04
1.0 ,9,2,2,1,0,1,755,9,0,0,1,751.50 ,0.00 ,0,0,54.32
1.4 ,27,17,4,3,4,10,9901,8,1,1,13,10681.00 ,167.00 ,1,1,65.37
0.6 ,41,35,0,2,1,5,7075,9,1,1,6,7420.00 ,0.50 ,0,1,69
1.0 ,25,5,0,2,1,0,3547,5,1,1,0,1773.50 ,0.00 ,0,0,52.81
1.0 ,15,27,0,2,1,0,4371,8,1,1,0,4532.00 ,0.00 ,0,0,69.62
1.4 ,10,25,3,5,0,0,1284,7,0,1,0,1023.50 ,0.00 ,1,0,66.37
1.8 ,12,21,4,3,2,5,839,9,1,1,5,1184.00 ,37.50 ,1,1,68.72
1.0 ,7,14,0,4,2,2,1852,8,1,1,7,1212.50 ,0.00 ,0,0,65.36
1.2 ,4,20,5,2,0,4,1164,9,0,1,8,1285.00 ,10.00 ,0,1,71.23
1.4 ,15,26,3,3,2,13,4552,7,1,1,13,4904.50 ,179.00 ,1,1,78.4
1.2 ,5,37,7,2,1,0,427,7,0,0,0,381.50 ,0.00 ,0,0,65.36
